denominazione_regione	hs	ic	th	hi	tcp	ncp	dh	d	tc	sw	casi_testati
Friuli	0	0	0	0	0	0	0	0	0	114	
Friuli	0	0	0	0	0	0	0	0	0	141	
Friuli	0	0	0	0	0	0	0	0	0	169	
Friuli	0	0	0	0	0	0	0	0	0	189	
Friuli	0	0	0	6	6	6	0	0	6	243	
Friuli	0	0	0	9	9	3	0	0	9	269	
Friuli	1	0	1	12	13	4	0	0	13	354	
Friuli	3	0	3	15	18	5	0	0	18	376	
Friuli	4	0	4	17	21	3	0	0	21	397	
Friuli	4	0	4	24	28	10	3	0	31	577	
Friuli	7	1	8	31	39	11	3	0	42	577	
Friuli	7	1	8	45	53	15	3	1	57	997	
Friuli	18	1	19	70	89	36	3	1	93	1344	
Friuli	27	6	33	77	110	23	3	3	116	1602	
Friuli	16	5	21	89	110	10	10	6	126	2073	
Friuli	23	10	33	115	148	41	11	8	167	2604	
Friuli	59	8	67	169	236	90	11	10	257	3149	
Friuli	67	11	78	193	271	44	17	13	301	3376	
Friuli	98	12	110	206	316	46	17	14	347	3407	
Friuli	96	19	115	231	346	39	18	22	386	4851	
Friuli	104	21	125	222	347	8	17	30	394	4958	
Friuli	128	27	155	261	416	68	15	31	462	4958	
Friuli	134	29	163	359	522	137	41	36	599	4052	
Friuli	143	32	175	380	555	57	63	38	656	4964	
Friuli	152	37	189	477	666	134	82	42	790	5955	
Friuli	163	47	210	528	738	84	89	47	874	6761	
Friuli	185	41	226	545	771	56	105	54	930	7424	
Friuli	195	49	244	604	848	62	80	64	992	8526	
Friuli	200	52	252	659	911	147	158	70	1139	9494	
Friuli	212	54	266	688	954	84	197	72	1223	10721	
Friuli	222	57	279	748	1027	94	214	76	1317	11841	
Friuli	223	59	282	838	1120	119	229	87	1436	12723	
Friuli	236	60	296	845	1141	44	241	98	1480	13397	
Friuli	229	60	289	820	1109	21	285	107	1501	14003	
Friuli	215	60	275	885	1160	92	320	113	1593	14899	
Friuli	206	60	266	940	1206	92	357	122	1685	15987	
Friuli	199	60	259	1035	1294	114	376	129	1799	17121	
Friuli	201	61	262	1062	1324	80	419	136	1879	19985	
Friuli	183	50	233	1103	1336	107	505	145	1986	21126	
Friuli	185	50	235	1128	1363	62	531	154	2048	21652	
Friuli	189	46	235	1161	1396	55	549	158	2103	22272	
Friuli	185	44	229	1150	1379	50	610	164	2153	23536	
Friuli	162	41	203	1212	1415	65	634	169	2218	24798	
Friuli	167	37	204	1186	1390	81	738	171	2299	26205	
Friuli	167	33	200	1198	1398	50	772	179	2349	28097	
Friuli	172	28	200	1182	1382	44	826	185	2393	29685	
Friuli	160	28	188	1138	1326	38	910	195	2431	29988	
Friuli	159	30	189	1118	1307	51	973	202	2482	30941	
Friuli	166	28	194	705	899	38	1415	206	2520	31764	
Friuli	163	24	187	1207	1394	24	938	212	2544	33800	
Friuli	159	26	185	1145	1330	72	1069	217	2616	35766	
Friuli	148	23	171	1257	1428	59	1027	220	2675	40030	
Friuli	141	27	168	1235	1403	56	1106	222	2731	43293	
Friuli	140	25	165	1172	1337	14	1183	225	2745	44622	27544
Friuli	140	22	162	1028	1190	30	1346	239	2775	45161	28777
Friuli	139	21	160	1162	1322	17	1229	241	2792	48500	31352
Friuli	134	20	154	1154	1308	25	1263	246	2817	50869	32871
Friuli	138	18	156	979	1135	41	1467	256	2858	52918	34057
Friuli	136	16	152	1168	1320	24	1304	258	2882	55502	35547
Friuli	122	15	137	947	1084	21	1556	263	2903	58375	37211
Friuli	129	13	142	1106	1248	14	1405	264	2917	59681	38202
Lazio	1	1	2	0	2	2	1	0	3	124	
Lazio	1	1	2	0	2	0	1	0	3	124	
Lazio	0	0	0	0	0	0	3	0	3	124	
Lazio	0	0	0	0	0	0	3	0	3	552	
Lazio	0	0	0	0	0	0	3	0	3	611	
Lazio	3	0	3	0	3	3	3	0	6	679	
Lazio	3	0	3	0	3	0	3	0	6	724	
Lazio	3	0	3	1	4	1	3	0	7	773	
Lazio	10	0	10	1	11	7	3	0	14	877	
Lazio	15	3	18	9	27	16	3	0	30	995	
Lazio	20	7	27	14	41	14	3	0	44	1175	
Lazio	26	8	34	16	50	10	3	1	54	1373	
Lazio	43	8	51	21	72	22	3	1	76	1582	
Lazio	47	8	55	26	81	11	3	3	87	1929	
Lazio	55	8	63	31	94	15	3	5	102	1929	
Lazio	50	15	65	34	99	14	11	6	116	3591	
Lazio	67	18	85	40	125	34	19	6	150	3591	
Lazio	85	20	105	67	172	50	19	9	200	5592	
Lazio	122	24	146	96	242	77	24	11	277	6491	
Lazio	181	25	206	114	320	80	24	13	357	7335	
Lazio	223	31	254	142	396	79	24	16	436	8345	
Lazio	267	31	298	174	472	87	32	19	523	9330	
Lazio	314	44	358	192	550	84	34	23	607	9436	
Lazio	374	44	418	232	650	117	42	32	724	11145	
Lazio	426	45	471	270	741	99	44	38	823	11145	
Lazio	537	47	584	328	912	185	53	43	1008	13889	
Lazio	591	70	661	425	1086	182	54	50	1190	13889	
Lazio	671	79	750	522	1272	193	58	53	1383	17845	
Lazio	718	96	814	600	1414	157	63	63	1540	18371	
Lazio	747	94	841	704	1545	188	103	80	1728	18371	
Lazio	805	101	906	769	1675	173	131	95	1901	20669	
Lazio	878	113	991	844	1835	195	155	106	2096	22771	
Lazio	992	126	1118	895	2013	199	164	118	2295	24106	
Lazio	985	133	1118	1063	2181	210	200	124	2505	27179	
Lazio	1062	133	1195	1167	2362	201	208	136	2706	27744	
